,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
2078,"Metter, GA Urban Cluster (2010)",26790
2079,"Mexia, TX Urban Cluster (2010)",36173
2080,"Mexico, MO Urban Cluster (2010)",39637
2081,"Meyersdale, PA Urban Cluster (2010)",40268
2082,"Miami, FL Urbanized Area (2010)",56782
2083,"Miami, OK Urban Cluster (2010)",35828
2084,"Michigan City&La Porte, IN&MI Urbanized Area (2010)",45588
2085,"Middlebury, IN Urban Cluster (2010)",88053
2086,"Middlebury, VT Urban Cluster (2010)",54306
2087,"Middlefield, OH Urban Cluster (2010)",48564
2088,"Middleport, OH&WV Urban Cluster (2010)",37924
2089,"Middlesborough, KY&TN&VA Urban Cluster (2010)",31616
2090,"Middletown, DE Urban Cluster (2010)",97151
2091,"Middletown, IN Urban Cluster (2010)",51912
2092,"Middletown, NY Urbanized Area (2010)",62488
2093,"Middletown, OH Urbanized Area (2010)",50860
2094,"Middleville, MI Urban Cluster (2010)",59355
2095,"Midland, MI Urbanized Area (2010)",65364
2096,"Midland, TX Urbanized Area (2010)",77067
2097,"Mifflinburg, PA Urban Cluster (2010)",53438
2098,"Mifflintown, PA Urban Cluster (2010)",43576
2099,"Milaca, MN Urban Cluster (2010)",41054
2100,"Milan, MI Urban Cluster (2010)",72165
2101,"Milan, TN Urban Cluster (2010)",44485
2102,"Milbank, SD Urban Cluster (2010)",42383
2103,"Miles City, MT Urban Cluster (2010)",50445
2104,"Milford, DE Urban Cluster (2010)",54485
2105,"Milford, NJ&PA Urban Cluster (2010)",87440
2106,"Milledgeville, GA Urban Cluster (2010)",33407
2107,"Millen, GA Urban Cluster (2010)",25947
2108,"Millersburg, OH Urban Cluster (2010)",48047
2109,"Millersburg, PA Urban Cluster (2010)",50993
2110,"Millinocket, ME Urban Cluster (2010)",29318
2111,"Millsboro, DE Urban Cluster (2010)",51265
2112,"Millsboro, PA Urban Cluster (2010)",31694
2113,"Millstadt, IL Urban Cluster (2010)",74242
2114,"Milton, DE Urban Cluster (2010)",48287
2115,"Milton, VT Urban Cluster (2010)",87687
2116,"Milton&Lewisburg, PA Urban Cluster (2010)",51486
2117,"Milwaukee, WI Urbanized Area (2010)",59777
2118,"Minden, LA Urban Cluster (2010)",25858
2119,"Minden, NE Urban Cluster (2010)",44850
2120,"Mineola, TX Urban Cluster (2010)",36782
2121,"Mineral Wells, TX Urban Cluster (2010)",41506
2122,"Minerva, OH Urban Cluster (2010)",46025
2123,"Minneapolis&St. Paul, MN&WI Urbanized Area (2010)",78708
2124,"Minot, ND Urban Cluster (2010)",66784
2125,"Minot AFB, ND Urban Cluster (2010)",60242
2126,"Mission Viejo&Lake Forest&San Clemente, CA Urbanized Area (2010)",109542
2127,"Missoula, MT Urbanized Area (2010)",49816
2128,"Missouri Valley, IA Urban Cluster (2010)",44464
2129,"Mitchell, IN Urban Cluster (2010)",41691
2130,"Mitchell, SD Urban Cluster (2010)",46688
2131,"Moab, UT Urban Cluster (2010)",51990
2132,"Moapa Valley, NV Urban Cluster (2010)",66865
2133,"Moberly, MO Urban Cluster (2010)",36563
2134,"Mobile, AL Urbanized Area (2010)",45995
2135,"Mobridge, SD Urban Cluster (2010)",50897
2136,"Mocksville, NC Urban Cluster (2010)",45438
2137,"Modesto, CA Urbanized Area (2010)",59972
2138,"Mojave, CA Urban Cluster (2010)",34915
2139,"Molalla, OR Urban Cluster (2010)",65551
2140,"Momence, IL Urban Cluster (2010)",46146
2141,"Monahans, TX Urban Cluster (2010)",64188
2142,"Monessen&California, PA Urbanized Area (2010)",47674
2143,"Monett, MO Urban Cluster (2010)",39848
2144,"Monmouth, IL Urban Cluster (2010)",44427
2145,"Monmouth&Independence, OR Urban Cluster (2010)",48601
2146,"Monroe, GA Urban Cluster (2010)",37405
2147,"Monroe, LA Urbanized Area (2010)",36623
2148,"Monroe, MI Urbanized Area (2010)",48596
2149,"Monroe, WI Urban Cluster (2010)",50117
2150,"Monroeville, AL Urban Cluster (2010)",32617
2151,"Montauk, NY Urban Cluster (2010)",96898
2152,"Mont Belvieu, TX Urban Cluster (2010)",67143
2153,"Monterey, TN Urban Cluster (2010)",33000
2154,"Montesano&Elma, WA Urban Cluster (2010)",52136
2155,"Montevideo, MN Urban Cluster (2010)",46798
2156,"Monte Vista, CO Urban Cluster (2010)",36901
2157,"Montezuma, GA Urban Cluster (2010)",30395
2158,"Montgomery, AL Urbanized Area (2010)",50201
2159,"Montgomery, MN Urban Cluster (2010)",55913
2160,"Montgomery, PA Urban Cluster (2010)",54891
2161,"Montgomery, WV Urban Cluster (2010)",35541
2162,"Montgomery City, MO Urban Cluster (2010)",40375
2163,"Monticello, AR Urban Cluster (2010)",35299
2164,"Monticello, GA Urban Cluster (2010)",34148
2165,"Monticello, IL Urban Cluster (2010)",72903
2166,"Monticello, IN Urban Cluster (2010)",44583
2167,"Monticello, IA Urban Cluster (2010)",47355
2168,"Monticello, KY Urban Cluster (2010)",27263
2169,"Monticello, NY Urban Cluster (2010)",32892
2170,"Monticello&Big Lake, MN Urban Cluster (2010)",77440
2171,"Montpelier, OH Urban Cluster (2010)",55227
2172,"Montrose, CO Urban Cluster (2010)",45405
2173,"Montrose, MN Urban Cluster (2010)",74698
2174,"Moodus, CT Urban Cluster (2010)",98750
2175,"Moorefield, WV Urban Cluster (2010)",41061
2176,"Moore Haven, FL Urban Cluster (2010)",31675
2177,"Moorhead, MS Urban Cluster (2010)",20848
2178,"Moose Lake, MN Urban Cluster (2010)",49167
2179,"Mora, MN Urban Cluster (2010)",42131
2180,"Morehead, KY Urban Cluster (2010)",28779
2181,"Morehead City, NC Urban Cluster (2010)",57718
2182,"Morgan, UT Urban Cluster (2010)",80000
2183,"Morgan City, LA Urban Cluster (2010)",39397
2184,"Morganfield, KY Urban Cluster (2010)",37802
2185,"Morgantown, WV Urbanized Area (2010)",47112
2186,"Morrilton, AR Urban Cluster (2010)",33438
2187,"Morris, IL Urban Cluster (2010)",67135
2188,"Morris, MN Urban Cluster (2010)",46902
2189,"Morrison, IL Urban Cluster (2010)",45776
2190,"Morristown, TN Urbanized Area (2010)",42227
2191,"Morro Bay&Los Osos, CA Urban Cluster (2010)",72691
2192,"Morton, MS Urban Cluster (2010)",27841
2193,"Moscow, ID Urban Cluster (2010)",41842
2194,"Moscow, PA Urban Cluster (2010)",78250
2195,"Moses Lake, WA Urban Cluster (2010)",52067
2196,"Moulton, AL Urban Cluster (2010)",33551
2197,"Moultrie, GA Urban Cluster (2010)",27692
2198,"Moundville, AL Urban Cluster (2010)",55221
2199,"Mountain City, TN Urban Cluster (2010)",28369
2200,"Mountain Grove, MO Urban Cluster (2010)",26565
2201,"Mountain Home, AR Urban Cluster (2010)",39437
2202,"Mountain Home, ID Urban Cluster (2010)",47969
2203,"Mountain Home AFB, ID Urban Cluster (2010)",44007
2204,"Mountain House, CA Urban Cluster (2010)",134323
2205,"Mountain Lake Park, MD Urban Cluster (2010)",41623
2206,"Mount Airy, NC&VA Urban Cluster (2010)",37360
2207,"Mount Angel, OR Urban Cluster (2010)",45119
2208,"Mount Carmel, IL Urban Cluster (2010)",42396
2209,"Mount Gilead, OH Urban Cluster (2010)",37442
2210,"Mount Holly Springs, PA Urban Cluster (2010)",69940
2211,"Mount Hood Village, OR Urban Cluster (2010)",68750
2212,"Mount Horeb, WI Urban Cluster (2010)",79747
2213,"Mount Morris, IL Urban Cluster (2010)",43858
2214,"Mount Morris, NY Urban Cluster (2010)",41484
2215,"Mount Olive, NC Urban Cluster (2010)",35963
2216,"Mount Orab, OH Urban Cluster (2010)",65703
2217,"Mount Pleasant, IA Urban Cluster (2010)",51344
2218,"Mount Pleasant, MI Urban Cluster (2010)",33574
2219,"Mount Pleasant, TN Urban Cluster (2010)",37476
2220,"Mount Pleasant, TX Urban Cluster (2010)",46756
2221,"Mount Pleasant, UT Urban Cluster (2010)",54800
2222,"Mount Pocono&Emerald Lakes, PA Urban Cluster (2010)",61261
2223,"Mount Shasta&Weed, CA Urban Cluster (2010)",35096
2224,"Mount Sterling, IL Urban Cluster (2010)",55583
2225,"Mount Sterling, KY Urban Cluster (2010)",41842
2226,"Mount Union, PA Urban Cluster (2010)",37977
2227,"Mount Vernon, IL Urban Cluster (2010)",40428
2228,"Mount Vernon, IN Urban Cluster (2010)",53062
2229,"Mount Vernon, IA Urban Cluster (2010)",70907
2230,"Mount Vernon, KY Urban Cluster (2010)",23750
2231,"Mount Vernon, MO Urban Cluster (2010)",42689
2232,"Mount Vernon, OH Urban Cluster (2010)",44254
2233,"Mount Vernon, TX Urban Cluster (2010)",47813
2234,"Mount Vernon, WA Urbanized Area (2010)",62261
2235,"Mukwonago, WI Urban Cluster (2010)",91178
2236,"Muldrow&Roland, OK Urban Cluster (2010)",37125
2237,"Muleshoe, TX Urban Cluster (2010)",51727
2238,"Mullins, SC Urban Cluster (2010)",25000
2239,"Muncie, IN Urbanized Area (2010)",40053
2240,"Muncy, PA Urban Cluster (2010)",50974
2241,"Munising, MI Urban Cluster (2010)",35536
2242,"Murfreesboro, NC Urban Cluster (2010)",39583
2243,"Murfreesboro, TN Urbanized Area (2010)",64212
2244,"Murphysboro, IL Urban Cluster (2010)",37688
2245,"Murray, KY Urban Cluster (2010)",33494
2246,"Murrieta&Temecula&Menifee, CA Urbanized Area (2010)",84409
2247,"Muscatine, IA Urban Cluster (2010)",54711
2248,"Muskegon, MI Urbanized Area (2010)",52217
2249,"Muskogee, OK Urban Cluster (2010)",38967
2250,"Myrtle Beach&Socastee, SC&NC Urbanized Area (2010)",51898
2251,"Mystic Island, NJ Urban Cluster (2010)",66443
2252,"Nacogdoches, TX Urban Cluster (2010)",35284
2253,"Nampa, ID Urbanized Area (2010)",50285
2254,"Nantucket, MA Urban Cluster (2010)",108167
2255,"Nanty-Glo, PA Urban Cluster (2010)",44245
2256,"Napa, CA Urbanized Area (2010)",85589
2257,"Napoleon, OH Urban Cluster (2010)",46336
2258,"Nappanee, IN Urban Cluster (2010)",54098
2259,"Narrows, VA&WV Urban Cluster (2010)",44548
2260,"Nashua, NH&MA Urbanized Area (2010)",85509
2261,"Nashville, AR Urban Cluster (2010)",27141
2262,"Nashville, GA Urban Cluster (2010)",32645
2263,"Nashville, IL Urban Cluster (2010)",60284
2264,"Nashville-Davidson, TN Urbanized Area (2010)",66559
2265,"Nassau Village-Ratliff, FL Urban Cluster (2010)",47896
2266,"Natchez, MS&LA Urban Cluster (2010)",28240
2267,"Natchitoches, LA Urban Cluster (2010)",22475
2268,"Navasota, TX Urban Cluster (2010)",53508
2269,"Nebraska City, NE Urban Cluster (2010)",47321
2270,"Needles, CA&AZ Urban Cluster (2010)",38692
2271,"Needville, TX Urban Cluster (2010)",64417
2272,"Nelson, GA Urban Cluster (2010)",67500
2273,"Nelsonville, OH Urban Cluster (2010)",28556
2274,"Neodesha, KS Urban Cluster (2010)",40956
2275,"Neosho, MO Urban Cluster (2010)",39345
2276,"Nephi, UT Urban Cluster (2010)",61715
2277,"Nevada, IA Urban Cluster (2010)",57976
2278,"Nevada, MO Urban Cluster (2010)",34637
2279,"New Albany, MS Urban Cluster (2010)",39817
2280,"Newark, NY Urban Cluster (2010)",47453
2281,"Newark, OH Urbanized Area (2010)",50164
2282,"Newaygo, MI Urban Cluster (2010)",41518
2283,"New Baden, IL Urban Cluster (2010)",77729
2284,"New Bedford, MA Urbanized Area (2010)",55426
2285,"Newberg, OR Urban Cluster (2010)",66346
2286,"New Bern, NC Urbanized Area (2010)",52343
2287,"Newberry, MI Urban Cluster (2010)",35556
2288,"Newberry, SC Urban Cluster (2010)",33717
2289,"New Boston, TX Urban Cluster (2010)",46127
2290,"New Bremen&Minster, OH Urban Cluster (2010)",78011
2291,"New Carlisle, IN Urban Cluster (2010)",63346
2292,"New Castle, CO Urban Cluster (2010)",81855
2293,"New Castle, IN Urban Cluster (2010)",42131
2294,"New Castle, PA Urban Cluster (2010)",44686
2295,"Newcastle, WY Urban Cluster (2010)",59336
2296,"Newcomerstown, OH Urban Cluster (2010)",34950
2297,"New Concord, OH Urban Cluster (2010)",59350
2298,"New Cordell, OK Urban Cluster (2010)",44615
2299,"Newfane, NY Urban Cluster (2010)",50324
2300,"New Freedom&Shrewsbury, PA&MD Urban Cluster (2010)",80786
2301,"New Hampton, IA Urban Cluster (2010)",45077
2302,"New Haven, CT Urbanized Area (2010)",70131
2303,"New Lebanon, OH Urban Cluster (2010)",51098
2304,"New Lexington, OH Urban Cluster (2010)",33900
2305,"New London, MN Urban Cluster (2010)",61111
2306,"New London, WI Urban Cluster (2010)",48695
2307,"New Madrid, MO Urban Cluster (2010)",34207
2308,"Newman, CA Urban Cluster (2010)",62331
2309,"New Martinsville, WV&OH Urban Cluster (2010)",43759
2310,"New Orleans, LA Urbanized Area (2010)",50022
2311,"New Philadelphia&Dover, OH Urban Cluster (2010)",48242
2312,"Newport, AR Urban Cluster (2010)",26645
2313,"Newport, NH Urban Cluster (2010)",57575
2314,"Newport, OR Urban Cluster (2010)",49235
2315,"Newport, PA Urban Cluster (2010)",45694
2316,"Newport, TN Urban Cluster (2010)",28596
2317,"Newport, VT Urban Cluster (2010)",33348
2318,"Newport, WA&ID Urban Cluster (2010)",32468
2319,"New Prague, MN Urban Cluster (2010)",80128
2320,"New Richmond, OH Urban Cluster (2010)",65667
2321,"New Richmond, WI Urban Cluster (2010)",55026
2322,"New Roads, LA Urban Cluster (2010)",38474
2323,"New Tazewell, TN Urban Cluster (2010)",31139
2324,"Newton, IL Urban Cluster (2010)",36835
2325,"Newton, IA Urban Cluster (2010)",48130
2326,"Newton, KS Urban Cluster (2010)",55864
2327,"Newton, MS Urban Cluster (2010)",23958
2328,"Newton, NJ Urban Cluster (2010)",70053
2329,"New Ulm, MN Urban Cluster (2010)",62396
2330,"New Wilmington, PA Urban Cluster (2010)",57083
2331,"New York&Newark, NY&NJ&CT Urbanized Area (2010)",78045
2332,"Nicholasville, KY Urban Cluster (2010)",48122
2333,"Nine Mile Falls, WA Urban Cluster (2010)",94778
2334,"Nipomo, CA Urban Cluster (2010)",82141
2335,"Nocona, TX Urban Cluster (2010)",32203
2336,"Nogales, AZ Urban Cluster (2010)",32995
2337,"Nokomis, IL Urban Cluster (2010)",43549
2338,"Nome, AK Urban Cluster (2010)",83271
2339,"Norfolk, NE Urban Cluster (2010)",51389
2340,"Norman, OK Urbanized Area (2010)",55812
2341,"Norris, TN Urban Cluster (2010)",50156
2342,"North Adams, MA&VT Urban Cluster (2010)",44757
2343,"North Baltimore, OH Urban Cluster (2010)",55357
2344,"North Branch, MN Urban Cluster (2010)",70905
2345,"North Brookfield, MA Urban Cluster (2010)",71261
2346,"North Conway, NH Urban Cluster (2010)",50879
2347,"North Eagle Butte, SD Urban Cluster (2010)",33981
2348,"North East, PA Urban Cluster (2010)",52188
2349,"Northern Cambria, PA Urban Cluster (2010)",45000
2350,"Northfield, MN Urban Cluster (2010)",71243
2351,"Northfield, VT Urban Cluster (2010)",61318
2352,"North Manchester, IN Urban Cluster (2010)",50906
2353,"North Platte, NE Urban Cluster (2010)",54819
2354,"North Port&Port Charlotte, FL Urbanized Area (2010)",52315
2355,"North Shore, CA Urban Cluster (2010)",19912
2356,"North Vernon, IN Urban Cluster (2010)",45273
2357,"North Webster, IN Urban Cluster (2010)",53964
2358,"North Wilkesboro&Wilkesboro, NC Urban Cluster (2010)",39268
2359,"Norton, KS Urban Cluster (2010)",51250
2360,"Norton&Wise, VA Urban Cluster (2010)",38415
2361,"Norwalk, OH Urban Cluster (2010)",47113
2362,"Norwich, NY Urban Cluster (2010)",37762
2363,"Norwich&New London, CT&RI Urbanized Area (2010)",67196
2364,"Norwood Young America, MN Urban Cluster (2010)",68951
2365,"Nowata, OK Urban Cluster (2010)",32308
2366,"Nyssa, OR Urban Cluster (2010)",43563
2367,"Oakdale, LA Urban Cluster (2010)",32689
2368,"Oak Harbor, OH Urban Cluster (2010)",48438
2369,"Oak Harbor, WA Urban Cluster (2010)",59461
2370,"Oakhurst, CA Urban Cluster (2010)",43873
2371,"Oak Island, NC Urban Cluster (2010)",60648
2372,"Oakland, TN Urban Cluster (2010)",75000
2373,"Oakland City, IN Urban Cluster (2010)",42750
2374,"Oakridge, OR Urban Cluster (2010)",32205
2375,"Oberlin, OH Urban Cluster (2010)",46818
2376,"Ocala, FL Urbanized Area (2010)",44728
2377,"Ocala Estates, FL Urban Cluster (2010)",32857
2378,"Oceana, WV Urban Cluster (2010)",36125
2379,"Ocean Park, WA Urban Cluster (2010)",47482
2380,"Ocean Pines, MD&DE Urban Cluster (2010)",64271
2381,"Ocean Shores, WA Urban Cluster (2010)",45558
2382,"Ocean View, DE Urban Cluster (2010)",73438
2383,"Ocilla, GA Urban Cluster (2010)",20788
2384,"Oconto, WI Urban Cluster (2010)",46781
2385,"Oconto Falls, WI Urban Cluster (2010)",46960
2386,"Odem, TX Urban Cluster (2010)",48173
2387,"Odessa, MO Urban Cluster (2010)",52684
2388,"Odessa, TX Urbanized Area (2010)",62283
2389,"Oelwein, IA Urban Cluster (2010)",42461
2390,"Ogallala, NE Urban Cluster (2010)",44395
2391,"Ogden&Layton, UT Urbanized Area (2010)",74815
2392,"Ogdensburg, NY Urban Cluster (2010)",42193
2393,"Oil City, PA Urban Cluster (2010)",44128
2394,"Okeechobee&Taylor Creek, FL Urban Cluster (2010)",41600
2395,"Okemah, OK Urban Cluster (2010)",34231
2396,"Oklahoma City, OK Urbanized Area (2010)",56584
2397,"Okmulgee, OK Urban Cluster (2010)",33076
2398,"Olean, NY Urban Cluster (2010)",43419
2399,"Olney, IL Urban Cluster (2010)",39756
2400,"Olney, TX Urban Cluster (2010)",43625
2401,"Olympia&Lacey, WA Urbanized Area (2010)",69550
2402,"Omaha, NE&IA Urbanized Area (2010)",66215
2403,"Omak, WA Urban Cluster (2010)",45176
2404,"Omro, WI Urban Cluster (2010)",57317
2405,"Onalaska, TX Urban Cluster (2010)",49779
2406,"Onawa, IA Urban Cluster (2010)",35234
2407,"Oneida, NY Urban Cluster (2010)",54636
2408,"Oneida, TN Urban Cluster (2010)",27734
2409,"O'Neill, NE Urban Cluster (2010)",58333
2410,"Oneonta, AL Urban Cluster (2010)",38900
2411,"Oneonta, NY Urban Cluster (2010)",46991
2412,"Ontario, OR&ID Urban Cluster (2010)",45170
2413,"Oostburg, WI Urban Cluster (2010)",60758
2414,"Opelousas, LA Urban Cluster (2010)",27095
2415,"Opp, AL Urban Cluster (2010)",32547
2416,"Orange, VA Urban Cluster (2010)",51695
2417,"Orangeburg, SC Urban Cluster (2010)",32983
2418,"Orange City, IA Urban Cluster (2010)",72904
2419,"Orange Cove, CA Urban Cluster (2010)",25718
2420,"Orangetree, FL Urban Cluster (2010)",105806
2421,"Oregon, IL Urban Cluster (2010)",49875
2422,"Oregon, WI Urban Cluster (2010)",81164
2423,"Orland, CA Urban Cluster (2010)",43658
2424,"Orlando, FL Urbanized Area (2010)",59876
2425,"Orofino, ID Urban Cluster (2010)",39512
2426,"Orosi, CA Urban Cluster (2010)",41237
2427,"Oroville, CA Urban Cluster (2010)",40273
2428,"Orrville, OH Urban Cluster (2010)",55239
2429,"Orwigsburg, PA Urban Cluster (2010)",62406
2430,"Osage, IA Urban Cluster (2010)",54819
2431,"Osage Beach, MO Urban Cluster (2010)",39786
2432,"Osage City, KS Urban Cluster (2010)",35469
2433,"Osawatomie, KS Urban Cluster (2010)",51822
2434,"Osburn, ID Urban Cluster (2010)",51005
2435,"Osceola, AR Urban Cluster (2010)",27801
2436,"Osceola, IA Urban Cluster (2010)",49540
2437,"Osceola, WI Urban Cluster (2010)",47569
2438,"Oshkosh, WI Urbanized Area (2010)",53700
2439,"Oskaloosa, IA Urban Cluster (2010)",48240
2440,"Ossian, IN Urban Cluster (2010)",54375
2441,"Oswego, NY Urban Cluster (2010)",45810
2442,"Othello, WA Urban Cluster (2010)",46295
2443,"Otisville, NY Urban Cluster (2010)",88750
2444,"Otsego&Plainwell, MI Urban Cluster (2010)",54069
2445,"Ottawa, IL Urban Cluster (2010)",52560
2446,"Ottawa, KS Urban Cluster (2010)",46683
2447,"Ottawa, OH Urban Cluster (2010)",53523
2448,"Ottumwa, IA Urban Cluster (2010)",41185
2449,"Owatonna, MN Urban Cluster (2010)",62738
2450,"Owego, NY Urban Cluster (2010)",45966
2451,"Owensboro, KY Urbanized Area (2010)",46260
2452,"Owensville, MO Urban Cluster (2010)",37370
2453,"Owosso, MI Urban Cluster (2010)",45217
2454,"Oxford, MS Urban Cluster (2010)",45528
2455,"Oxford, NC Urban Cluster (2010)",38774
2456,"Oxford, OH Urban Cluster (2010)",32188
2457,"Oxnard, CA Urbanized Area (2010)",74370
2458,"Ozark, AL Urban Cluster (2010)",39408
2459,"Ozark, AR Urban Cluster (2010)",19200
2460,"Ozona, TX Urban Cluster (2010)",45767
2461,"Pacific, MO Urban Cluster (2010)",49904
2462,"Paden City, WV Urban Cluster (2010)",47230
2463,"Paducah, KY&IL Urban Cluster (2010)",42624
2464,"Page, AZ Urban Cluster (2010)",68348
2465,"Pageland, SC Urban Cluster (2010)",43409
2466,"Pagosa Springs, CO Urban Cluster (2010)",42262
2467,"Pahokee, FL Urban Cluster (2010)",25049
2468,"Pahrump, NV Urban Cluster (2010)",45251
2469,"Paintsville, KY Urban Cluster (2010)",35833
2470,"Palacios, TX Urban Cluster (2010)",37965
2471,"Palatka, FL Urban Cluster (2010)",34246
2472,"Palestine, TX Urban Cluster (2010)",36999
2473,"Palm Bay&Melbourne, FL Urbanized Area (2010)",57625
2474,"Palm Coast&Daytona Beach&Port Orange, FL Urbanized Area (2010)",48367
2475,"Palmyra, MO Urban Cluster (2010)",46215
2476,"Palmyra, NY Urban Cluster (2010)",52281
2477,"Paloma Creek South&Paloma Creek, TX Urban Cluster (2010)",94063
2478,"Pampa, TX Urban Cluster (2010)",46391
2479,"Pana, IL Urban Cluster (2010)",49116
2480,"Panama City, FL Urbanized Area (2010)",54026
2481,"Panama City Northeast, FL Urban Cluster (2010)",49881
2482,"Paola, KS Urban Cluster (2010)",49085
2483,"Paoli, IN Urban Cluster (2010)",36163
2484,"Paradise, CA Urban Cluster (2010)",50264
2485,"Paragould, AR Urban Cluster (2010)",45394
2486,"Paris, AR Urban Cluster (2010)",32731
2487,"Paris, IL Urban Cluster (2010)",44707
2488,"Paris, KY Urban Cluster (2010)",44212
2489,"Paris, TN Urban Cluster (2010)",31816
2490,"Paris, TX Urban Cluster (2010)",35278
2491,"Park City, UT Urban Cluster (2010)",127295
2492,"Parker, AZ&CA Urban Cluster (2010)",46625
2493,"Parkersburg, WV&OH Urbanized Area (2010)",43368
2494,"Park Rapids, MN Urban Cluster (2010)",33484
2495,"Parlier, CA Urban Cluster (2010)",35201
2496,"Parowan, UT Urban Cluster (2010)",41597
2497,"Parsons, KS Urban Cluster (2010)",40170
2498,"Pascagoula, MS Urbanized Area (2010)",41190
2499,"Patterson, CA Urban Cluster (2010)",69449
2500,"Patton, PA Urban Cluster (2010)",50117
2501,"Paulding, OH Urban Cluster (2010)",43456
2502,"Pauls Valley, OK Urban Cluster (2010)",41287
2503,"Pawhuska, OK Urban Cluster (2010)",38185
2504,"Pawleys Island, SC Urban Cluster (2010)",71823
2505,"Pawnee, IL Urban Cluster (2010)",70625
2506,"Paw Paw, MI Urban Cluster (2010)",56165
2507,"Paw Paw Lake&Hartford, MI Urban Cluster (2010)",43112
2508,"Paxton, IL Urban Cluster (2010)",53750
2509,"Payson, AZ Urban Cluster (2010)",46419
2510,"Peaceful Valley, WA Urban Cluster (2010)",27411
2511,"Pearisburg, VA Urban Cluster (2010)",57500
2512,"Pearsall, TX Urban Cluster (2010)",47049
2513,"Pecan Acres, TX Urban Cluster (2010)",63065
2514,"Pecan Plantation, TX Urban Cluster (2010)",78008
2515,"Pecos, TX Urban Cluster (2010)",60000
2516,"Pelham, GA Urban Cluster (2010)",30846
2517,"Pella, IA Urban Cluster (2010)",66592
2518,"Pell City, AL Urban Cluster (2010)",49477
2519,"Pembroke, NC Urban Cluster (2010)",26144
2520,"Pendleton, OR Urban Cluster (2010)",52189
2521,"Penn Yan, NY Urban Cluster (2010)",48993
2522,"Pensacola, FL&AL Urbanized Area (2010)",52285
2523,"Peoria, IL Urbanized Area (2010)",56448
2524,"Peotone, IL Urban Cluster (2010)",83059
2525,"Perham, MN Urban Cluster (2010)",45732
2526,"Perry, FL Urban Cluster (2010)",35984
2527,"Perry, IA Urban Cluster (2010)",44136
2528,"Perry, MI Urban Cluster (2010)",58438
2529,"Perry, NY Urban Cluster (2010)",50459
2530,"Perry, OK Urban Cluster (2010)",54351
2531,"Perryton, TX Urban Cluster (2010)",48881
2532,"Perryville, MO Urban Cluster (2010)",48125
2533,"Peru, IN Urban Cluster (2010)",40427
2534,"Peru&LaSalle, IL Urban Cluster (2010)",51845
2535,"Peshtigo, WI Urban Cluster (2010)",51199
2536,"Petaluma, CA Urbanized Area (2010)",90830
2537,"Peterborough, NH Urban Cluster (2010)",61979
2538,"Petersburg, IL Urban Cluster (2010)",55653
2539,"Petersburg, WV Urban Cluster (2010)",40020
2540,"Petoskey, MI Urban Cluster (2010)",45666
2541,"Phelan, CA Urban Cluster (2010)",50510
2542,"Philadelphia, MS Urban Cluster (2010)",31997
2543,"Philadelphia, PA&NJ&DE&MD Urbanized Area (2010)",70890
2544,"Philippi, WV Urban Cluster (2010)",28669
2545,"Philipsburg, PA Urban Cluster (2010)",43819
2546,"Phillipsburg, KS Urban Cluster (2010)",48658
2547,"Phoenix&Mesa, AZ Urbanized Area (2010)",63396
2548,"Picayune, MS Urban Cluster (2010)",35320
2549,"Picture Rocks, AZ Urban Cluster (2010)",48311
2550,"Piedmont, AL Urban Cluster (2010)",32330
2551,"Pierre, SD Urban Cluster (2010)",61193
2552,"Pierre Part, LA Urban Cluster (2010)",57188
2553,"Piggott, AR Urban Cluster (2010)",34750
2554,"Pikeville, KY Urban Cluster (2010)",35369
2555,"Pilot Point, TX Urban Cluster (2010)",61430
2556,"Pinckneyville, IL Urban Cluster (2010)",32462
2557,"Pine Bluff, AR Urbanized Area (2010)",36834
2558,"Pine City, MN Urban Cluster (2010)",40313
2559,"Pine Grove, PA Urban Cluster (2010)",48958
2560,"Pinehurst&Southern Pines, NC Urban Cluster (2010)",61515
2561,"Pine Island, MN Urban Cluster (2010)",72321
2562,"Pine Ridge, SD Urban Cluster (2010)",43500
2563,"Pipestone, MN Urban Cluster (2010)",41359
2564,"Piqua, OH Urban Cluster (2010)",43345
2565,"Pittsboro, NC Urban Cluster (2010)",42283
2566,"Pittsburg, KS Urban Cluster (2010)",36581
2567,"Pittsburg, TX Urban Cluster (2010)",47727
2568,"Pittsburgh, PA Urbanized Area (2010)",61050
2569,"Pittsfield, IL Urban Cluster (2010)",41181
2570,"Pittsfield, ME Urban Cluster (2010)",31875
2571,"Pittsfield, MA Urbanized Area (2010)",51691
2572,"Placerville&Diamond Springs, CA Urban Cluster (2010)",61952
2573,"Plain City, OH Urban Cluster (2010)",78798
2574,"Plainview, MN Urban Cluster (2010)",60969
2575,"Plainview, TX Urban Cluster (2010)",48255
2576,"Planada, CA Urban Cluster (2010)",43367
2577,"Platte City, MO Urban Cluster (2010)",85985
2578,"Platteville, WI Urban Cluster (2010)",46951
2579,"Plattsburgh, NY Urban Cluster (2010)",51043
2580,"Plattsmouth, NE Urban Cluster (2010)",50162
2581,"Pleasant Hill, MO Urban Cluster (2010)",70082
2582,"Pleasanton, TX Urban Cluster (2010)",60043
2583,"Pleasant View, TN Urban Cluster (2010)",79683
2584,"Plumas Lake, CA Urban Cluster (2010)",100934
